genres,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity
deep delta blues,119087.5625,0.973625,0.4605,0.07263,0.11240383,0.18075,-14.4924375,0.04206875,110.9238125,0.3521875,1,10,1.375
deep disco,404964.1649,0.09155507,0.753957781,0.671205128,0.162212536,0.155800398,-11.25790075,0.076681123,117.4289978,0.818171751,0,11,35.63439434
deep disco house,228120.5,0.30045,0.768166667,0.510833333,0.01434,0.140666667,-11.25516667,0.050583333,124.5886667,0.577833333,1,3,49.5
deep dnb,353267,0.000708,0.478,0.987,0.11,0.0749,-2.913,0.102,140.04,0.324,1,6,45
deep east coast hip hop,250599.56,0.22087,0.71848,0.76196,0.001258,0.15144,-6.45264,0.24612,115.57596,0.76852,0,11,43.76
deep euro house,219939.2,0.274016567,0.69276,0.678706667,0.082173019,0.223533333,-7.48628,0.065234,122.8710733,0.5827,0,5,57.47333333
deep free jazz,179467,0.275,0.491,0.389,1.24E-06,0.256,-15.245,0.0318,86.622,0.46,1,7,35
deep freestyle,270665.5833,0.024760833,0.715166667,0.72125,0.073921,0.162708333,-10.03058333,0.068941667,120.4611667,0.786333333,1,7,32.16666667
deep funk,245639.6667,0.034938,0.609333333,0.780333333,0.0006386,0.075733333,-8.081,0.052,128.113,0.771666667,1,4,34.66666667
deep g funk,230838,0.02742,0.835666667,0.520444444,0.013671533,0.1502,-9.101222222,0.139522222,113.9765556,0.585222222,1,1,31.77777778
deep gothic post-punk,478493,0.00306,0.521,0.82,0.707,0.102,-7.497,0.032,144.011,0.429,1,1,40
deep groove house,257456.7623,0.107835606,0.681753133,0.75132605,0.12988353,0.178671797,-6.566360607,0.058775763,121.9998061,0.529022232,1,5,59.87719298
deep house,295181.8415,0.124215826,0.740594156,0.672791775,0.283164165,0.152285206,-8.752787446,0.067007511,120.7424062,0.605373896,1,11,50.35075758
deep idm,393953.3333,0.353456667,0.6055,0.487,0.905166667,0.155166667,-14.33833333,0.048333333,104.4883333,0.404916667,1,1,39.33333333
deep indian pop,259284.6277,0.612829783,0.634427479,0.426955504,0.113121536,0.180072617,-12.02590665,0.095235108,102.6512475,0.620594013,1,5,23.5847977
deep indie singer-songwriter,330400,0.00374,0.436,0.922,0.000413,0.253,-3.279,0.0627,150.151,0.0928,0,11,53
deep latin alternative,244307,0.473,0.562,0.217,0,0.205,-20.723,0.034,109.843,0.691,1,4,42
deep latin christian,241609.2917,0.4975,0.508541667,0.432,0.002379115,0.244016667,-10.26366667,0.0342125,86.17554167,0.39475,1,0,49.29166667
deep melodic euro house,251249,0.572,0.606333333,0.538666667,0.02624,0.178333333,-12.58533333,0.060066667,129.1553333,0.585666667,0,6,34
deep melodic metalcore,243939,0.00254,0.53,0.907,3.91E-05,0.1,-3.066,0.0589,109.997,0.264,1,8,52
deep minimal techno,400000,0.00377,0.81,0.728,0.862,0.106,-7.223,0.0927,125.993,0.705,1,2,0
deep motown,152395.4444,0.565977778,0.548222222,0.507888889,0.086333793,0.253888889,-9.784444444,0.035255556,119.1028889,0.811555556,1,11,15.22222222
deep new americana,236979.7337,0.401765089,0.541409231,0.554586856,0.045852382,0.167116956,-8.596657166,0.048444849,113.4694167,0.479096471,1,7,50.24313257
deep new wave,266570.8,0.0172,0.6635,0.7106,0.037154266,0.21164,-9.3054,0.04848,132.1737,0.7514,1,2,30.7
deep norteno,203086.369,0.299959524,0.670716931,0.704615079,0.040866567,0.136915344,-6.936306878,0.04672619,110.1328333,0.795582011,1,7,35.9537037
deep northern soul,167867,0.966,0.224,0.204,4.45E-06,0.143,-16.838,0.0339,169.367,0.219,1,3,9
deep pop edm,204408.55,0.229475,0.59515,0.5801,0.006151283,0.152245,-6.38905,0.05284,134.3107,0.27636,1,6,62.3
deep pop r&b,237880.8759,0.229064783,0.657644937,0.584489868,0.011889611,0.172135597,-7.346676491,0.146159666,116.1870802,0.452539263,1,1,55.23902771
deep psychobilly,524200,6.56E-05,0.538,0.971,0.824,0.104,-5.002,0.0373,139.998,0.191,1,9,0
deep punk rock,129400,6.49E-05,0.58,0.745,0.658,0.0542,-12.324,0.0359,123.498,0.961,1,1,40
deep r&b,182707,0.155,0.426,0.953,0,0.132,-3.282,0.106,169.93,0.678,1,9,53
deep ragga,228135.3722,0.217793056,0.705916667,0.532038889,0.012515969,0.151415,-9.896102778,0.210313889,109.7123417,0.704219444,1,0,36.46944444
deep regional mexican,210366.6665,0.37229913,0.6896695,0.660139062,0.021235214,0.181371996,-6.66490401,0.100344649,122.2599706,0.813650232,1,10,45.61228624
deep smooth jazz,273333.1429,0.326957143,0.668857143,0.592,0.527678571,0.124885714,-9.278,0.034628571,109.6955714,0.617714286,1,7,44.57142857
deep soft rock,238308.5262,0.375337302,0.639975397,0.534361905,0.007849943,0.201251984,-12.12577619,0.047415317,106.8071754,0.652405556,1,5,35.46587302
deep soul house,428128,0.07475,0.73325,0.55675,0.91075,0.122025,-11.16675,0.046625,106.06525,0.48075,1,11,38.75
deep soundtrack,184651.7667,0.894433333,0.222801667,0.118872667,0.59663388,0.114995,-20.01955,0.04935,102.2051333,0.18094,1,9,34.25
deep southern soul,161107,0.595,0.7135,0.581,0.0003875,0.0876,-6.931,0.02755,107.358,0.894,1,7,24.5
deep southern trap,261029.2186,0.091714278,0.754796894,0.680546937,0.002239111,0.203328982,-6.11176994,0.231887019,121.4633607,0.553031947,1,1,45.38487398
deep talent show,207372.2132,0.34539155,0.594026226,0.625319933,0.000254664,0.123370184,-7.031244759,0.047488601,126.6281151,0.494953306,1,6,48.79568151
deep tech house,362792.1765,0.410186176,0.296941176,0.434588235,0.563023529,0.201382353,-13.00358824,0.037717647,126.6549412,0.307529412,0,2,35.05882353
deep tropical house,245917.8452,0.186321955,0.651820635,0.668190278,0.149459078,0.184315179,-7.423840278,0.04899256,119.8220694,0.397052579,1,2,60.64087302
deep underground hip hop,217102.8063,0.245775977,0.691001628,0.635184259,0.003799196,0.207243004,-7.317504536,0.165420471,124.7017779,0.429479567,1,1,51.41399471
deep uplifting trance,233125.1667,0.028939833,0.719666667,0.886833333,0.2135362,0.347333333,-5.61,0.164166667,129.5425,0.547166667,1,11,26.66666667
delta blues,200101.1568,0.777403969,0.583259995,0.362239536,0.094714631,0.175468825,-12.82613892,0.077584216,117.6089032,0.603362202,1,10,24.50876724
dembow,247038.8667,0.144243333,0.8274,0.764833333,0.006882047,0.16886,-5.710666667,0.133656667,104.1835,0.757966667,1,7,66.16666667
denpa-kei,270886.5,0.18135,0.536,0.8175,0,0.2252,-2.4535,0.0352,129.996,0.6,1,3,52.5
denton tx indie,270116.75,0.31389,0.59275,0.73625,0.000121725,0.11745,-6.623,0.0825,118.87075,0.56775,1,9,52.25
